,,,,,,,mg/l,,,,,,mg/L,count/100ml,,mg/L,L,kg,,,,,,,
Location ,Date,Irr/Storm ,Station,Dup,event,ID,op,no2,no3,tkn,tp,selenium (mg/L),TSS,E COLI,fecal,tss,Flow ,OP,NO3,NH4,TKN,TP,E COLI,fecal,notes
Kerbel,6/17/2022,Irr 1 rep 1,CT1,,,CT1-FF-01-GB,U,,7.1,,0.11,0.022,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,INF,,,INF-01-GB-DAY1,U,,7.9,,U,0.0055,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,MT1,,,MT1-01-LC,U,,6.5,,0.3,0.0058,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,MT1,,,MT1-01-LC-D,U,,6.7,,0.36,0.0061,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,MT1,,,MT1-FF-01-GB,U,,7.1,,0.23,0.007,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,ST1,,,ST1-01-LC,U,,6.7,,0.26,0.0065,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,ST1,,,ST1-01-LC-D,U,,6.7,,0.29,0.0067,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 1,ST1,,,ST1-FF-01-GB,U,,9.8,,0.41,0.0073,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,CT2,,,CT2-01-LC,U,,6.7,,0.24,0.0053,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,INF,,,INF-01-GB-DAY2,U,,7.8,,U,0.0054,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,MT2,,,MT2-01-LC,U,,6.7,,0.28,0.0066,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,MT2,,,MT2-FF-01-GB,U,,8.5,,0.42,0.0071,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,ST2,,,ST2-01-LC,U,,6.7,,0.29,0.0059,,,,,,,,,,,,,
Kerbel,6/17/2022,Irr 1 rep 2,ST2,,,ST2-FF-01-GB,U,,13,,1.4,0.012,,,,,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,CT1,,,CT1-02-LC,U,1.7,7,U,0.22,0.0069,,,,190,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,CT1,,,CT1-02-LC-D,U,2.6,7,U,0.24,0.006,,,,203.33,,,,,,,,,op marked as N
Kerbel,6/30/2022,Irr 2 rep 1,CT1,,,CT1-FF-01-GB,U,U,7.6,3.1,0.26,0.0079,,,,896.665,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,,,,KB-02-IN1,U,U,6.6,U,U,0.0061,,,,33.33,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,,,,KB-02-IN1-D,U,U,7.9,U,U,0.006,,,,36.667,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,MT1,,,MT1-02-LC,U,2.7,7.1,3.3,0.28,0.0078,,,,1116.667,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,MT1,,,MT1-02-LC-D,U,1.6,7.1,4,0.15,0.008,,,,993.33,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,MT1,,,MT1-FF-01-GB,U,U,9.4,6.5,0.33,0.0079,,,,860,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,ST1,,,ST1-02-LC,U,U,6.9,2.1,0.24,0.0064,,,,456.667,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,ST1,,,ST1-02-LC-D,U,U,6.8,2.1,0.23,0.0067,,,,493.33,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 1,ST1,,,ST1-FF-01-GB,U,U,8,4.8,0.21,0.0071,,,,5833.334,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 2,CT2,,,CT2-02-GB1,U,U,6.5,3.7,0.24,0.0078,,,,,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 2,CT2,,,CT2-02-LC-D,U,U,6.5,3.2,0.24,0.0082,,,,1180,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 2,,,,KB-02-IN2,U,U,6.5,U,U,0.0057,,,,30,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 2,,,,KB-02-IN2-D,U,U,6.4,U,U,0.0059,,,,40,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 2,MT2,,,MT2-02-LC,U,U,6.6,1.8,0.18,0.006,,,,353.33,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 2,MT2,,,MT2-02-LC-D,U,U,6.8,2.3,0.2,0.0064,,,,386.667,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 2,ST2,,,ST2-02-LC,U,U,6.5,2.1,0.19,0.0067,,,,343.33,,,,,,,,,
Kerbel,6/30/2022,Irr 2 rep 2,ST2,,,ST2-02-LC-D,U,U,6.5,U,0.14,0.0061,,,,416.667,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,CT1,,,CT1-03-LC,U,U,5.8,U,0.1,0.0058,,,,150,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,CT1,,,CT1-03-LC-D,U,U,5.8,U,0.11,0.0066,,,,130,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,CT1,,,CT1-FF-03-GB,U,U,6.1,1.1,0.47,0.0062,,,,436.667,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,,,,KB-03-IN1,U,U,5.9,U,U,0.0054,,,,40,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,,,,KB-03-IN1-D,U,U,5.8,U,U,0.0053,,,,56.667,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,MT1,,,MT1-03-LC,U,U,5.9,1.5,0.36,0.0068,,,,390,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,MT1,,,MT1-03-LC-D,U,U,5.9,U,0.38,0.0059,,,,390,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,MT1,,,MT1-FF-03-GB,U,U,6.3,U,0.99,0.0072,,,,1216.667,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,ST1,,,ST1-03-LC,U,U,5.8,U,0.15,0.0061,,,,213.33,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,ST1,,,ST1-03-LC-D,U,U,5.9,U,0.15,0.0055,,,,180,,,,,,,,,
Kerbel,7/13/2022,Irr 3 rep 1,ST1,,,ST1-FF-03-GB,U,U,6.4,1.4,3.8,0.0091,,,,3790,,,,,,,,,op marked as N
Kerbel,7/14/2022,Irr 3 rep 2,CT2,,,CT2-03-LC,U,U,6.1,0.91,0.21,0.0063,,,,206.667,,,,,,,,,op marked as N
Kerbel,7/14/2022,Irr 3 rep 2,CT2,,,CT2-03-LC-D,U,U,6.1,U,0.15,0.006,,,,180,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,CT2,,,CT2-FF-03-GB,U,U,6.2,0.33,1.6,0.0069,,,,386.667,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,,,,KB-03-IN2,U,U,5.9,U,U,0.0052,,,,33.33,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,,,,KB-03-IN2-D,U,U,6.1,U,U,0.0056,,,,23.33,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,MT2,,,MT2-03-LC,U,U,6.1,U,0.24,0.0059,,,,280,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,MT2,,,MT2-03-LC-D,U,U,6,U,0.23,0.0064,,,,310,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,MT2,,,MT2-FF-03-GB,U,U,6.3,5.3,1.9,0.0078,,,,2316.667,,,,,,,,,op marked as N
Kerbel,7/14/2022,Irr 3 rep 2,ST2,,,ST2-03-LC,U,U,6,U,0.16,0.0061,,,,240,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,ST2,,,ST2-03-LC-D,U,U,6,U,0.14,0.0063,,,,200,,,,,,,,,
Kerbel,7/14/2022,Irr 3 rep 2,ST2,,,ST2-FF-03-GB,U,U,6.2,1.8,0.32,0.0063,,,,386.667,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,CT1,,,CT1-04-LC,U,U,5.1,U,0.12,0.0056,,,,90,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,CT1,,,CT1-04-LC-D,U,U,6.3,U,0.1,0.0059,,,,76.667,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,CT1,,,CT1-FF-04-GB,U,U,6.5,1.3,0.32,0.0065,,,,330,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,,,,KB-04-IN1,U,U,6.4,U,U,0.0058,,,,40,,,,,,,,,op marked as N
Kerbel,7/26/2022,Irr 4 rep 1,,,,KB-04-IN1-D,U,U,6.4,U,U,0.0054,,,,46.667,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,MT1,,,MT1-04-LC,U,U,5.5,U,0.15,0.0052,,,,86.667,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,MT1,,,MT1-04-LC-D,U,U,5.9,U,0.14,0.0061,,,,73.33,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,MT1,,,MT1-FF-04-GB,U,U,6.5,1.2,0.35,0.0067,,,,906.667,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,ST1,,,ST1-04-LC,U,U,5.7,U,0.09,0.0058,,,,73.33,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,ST1,,,ST1-04-LC-D,U,U,6.3,U,0.092,0.006,,,,60,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,ST1,,,ST1-FF-04-GB,U,U,6.4,U,0.23,0.0064,,,,330,,,,,,,,,op marked as N
Kerbel,7/27/2022,Irr 4 rep 2,CT2,,,CT2-FF-04-GB,U,U,6.4,U,0.4,0.009,,,,2960,,,,,,,,,nitrite marked as N
Kerbel,7/27/2022,Irr 4 rep 2,,,,KB-04-IN2,U,U,6.5,U,U,0.0059,,,,40,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,,,,KB-04-IN2-D,U,U,7.7,U,U,0.006,,,,40,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,MT2,,,MT2-04-LC,U,U,7.9,U,0.15,0.0059,,,,96.667,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,MT2,,,MT2-04-LC-D,U,U,6.4,U,0.14,0.0059,,,,96.667,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,MT2,,,MT2-FF-04-GB,U,U,6.4,U,0.22,0.0067,,,,633.33,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,ST2,,,ST2-04-LC,U,1.6,6.3,U,0.072,0.0061,,,,66.667,,,,,,,,,nitrite marked as N
Kerbel,7/27/2022,Irr 4 rep 2,ST2,,,ST2-04-LC-D,U,1.7,6.3,U,0.074,0.0063,,,,56.667,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,ST2,,,ST2-FF-04-GB,U,U,6.5,U,0.24,0.0064,,,,273.33,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,CT1,,,CT1-0-LC,0.015,U,7.3,U,0.16,0.0056,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,,,,KB-05-IN1,0.015,U,7.7,U,U,0.0057,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,,,,KB-05-IN1-D,0.015,U,7.7,U,U,0.0061,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,MT1,,,MT1-05-LC,0.015,U,7.5,U,0.11,0.0062,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,MT1,,,MT1-05-LC-D,0.015,U,7.6,U,0.13,0.0062,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,ST1,,,ST1-05-LC,0.015,U,7.5,U,0.12,0.0062,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,ST1,,,ST1-05-LC-D,0.015,U,7.4,U,0.1,0.0065,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,,,,KB-05-IN2,0.13,U,7.6,U,U,0.0057,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,,,,KB-05-IN2-D,0.12,U,7.6,U,U,0.0058,,,,40,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,MT2,,,MT2-05-LC,0.24,U,7.6,U,0.28,0.0062,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,MT2,,,MT2-05-LC-D,0.2,U,7.6,U,0.25,0.0061,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,ST2,,,ST2-05-LC,0.18,U,7.6,U,0.11,0.0054,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,ST2,,,ST2-05-LC-D,0.16,U,7.5,U,0.065,0.0059,,,,,,,,,,,,,
Kerbel,8/25/2022,Irr 6 rep 1,CT1,,,CT1-06-LC-1,0.15,U,7.9,U,U,0.00528,,,,,,,,,,,,,"E no3; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/25/2022,Irr 6 rep 1,CT1,,,CT1-06-LC-1-D,0.13,U,7.8,U,U,0.00709,,,,,,,,,,,,,"; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/25/2022,Irr 6 rep 1,,,,KB-06-IN1-1,0.13,U,7.6,U,0.31,0.0051,,,,,,,,,,,,,"H no2; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/25/2022,Irr 6 rep 1,,,,KB-06-IN1-1-D,0.48,U,6.4,0.93,U,0.00662,,,,,,,,,,,,,"H no3, H no2, J TKN; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/25/2022,Irr 6 rep 1,MT1,,,MT1-06-LC-1,0.12,U,8.1,U,U,0.00704,,,,,,,,,,,,,"H no3; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/25/2022,Irr 6 rep 1,MT1,,,MT1-06-LC-1-D,0.16,U,7.5,U,U,0.00629,,,,,,,,,,,,,"; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/25/2022,Irr 6 rep 1,ST1,,,ST1-06-LC-1,0.16,U,7.4,U,U,0.00644,,,,,,,,,,,,,"H no3, H no2; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/25/2022,Irr 6 rep 1,ST1,,,ST1-06-LC-1-D,0.16,U,7.3,U,U,0.00613,,,,,,,,,,,,,"H no3, H no3; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/29/2022,Irr 6 rep 2,CT2,,,CT2-06-LC-1,0.25,U,6.5,0.98,0.11,0.00738,,,,,,,,,,,,,"H no3, H no2, J tkn; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/29/2022,Irr 6 rep 2,CT2,,,CT2-06-LC-1-D,0.25,U,6.4,U,0.12,0.00504,,,,,,,,,,,,,"H no3, H no2; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/29/2022,Irr 6 rep 2,,,,KB-06-IN2-1,0.13,U,6.9,U,U,0.00611,,,,,,,,,,,,,"H no3, H no2; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/29/2022,Irr 6 rep 2,,,,KB-06-IN2-1-D,0.17,U,7,U,0.045,0.00578,,,,,,,,,,,,,"H no3, H no2, tp J; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/29/2022,Irr 6 rep 2,MT2,,,MT2-06-LC-1,0.24,U,6.9,0.98,0.13,0.0059,,,,,,,,,,,,,"H no3, H no2; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/29/2022,Irr 6 rep 2,MT2,,,MT2-06-LC-1-D,0.26,U,6.4,U,0.12,0.00701,,,,,,,,,,,,,"H no3, H no2; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/29/2022,Irr 6 rep 2,ST2,,,ST2-06-LC-1,0.25,U,6.1,U,0.11,0.00509,,,,,,,,,,,,,"H no3, H no2; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,8/29/2022,Irr 6 rep 2,ST2,,,ST2-06-LC-1-D,0.23,U,6.4,U,0.1,0.00496,,,,,,,,,,,,,"H no3, H no2, selenium J; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,9/7/2022,Irr 7 rep 2,CT2,,,CT2-FF-07-GB-1,0.09,U,8.02,0.71,U,0.0069,,,,,,,,,,,,,"; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,9/7/2022,Irr 7 rep 2,,,,KB-07-IN2-1,U,U,7.77,U,U,0.00644,,,,,,,,,,,,,"; note that irrigation 6 actually occurred on 8/18-8/19, this is irrigation 7"
Kerbel,9/7/2022,Irr 7 rep 2,MT2,,,MT2-FF-07-GB-1,0.091,U,8.26,0.63,0.138,0.0066,,,,,,,,,,,,,"; note that due to skipped labelling on irr 6, this is actually irrigation 8"
Kerbel,9/7/2022,Irr 7 rep 2,ST2,,,ST2-FF-07-GB-1,0.17,U,8.49,0.97,0.134,0.00589,,,,,,,,,,,,,"; note that due to skipped labelling on irr 6, this is actually irrigation 8"
